Files,size
file1,23552
file2,15872
file3,57344
file4,52736
file5,43520
file6,58368
file7,35328
file8,17408
file9,21504
file10,49664
file11,51200
file12,27648
file13,49152
file14,33280
file15,35840
file16,59392
file17,48128
file18,35840
file19,47616
file20,90624
file21,19456
file22,23040
file23,56832
file24,41984
file25,40448
file26,129024
file27,79872
file28,37376
file29,153600
file30,189440
file31,36864
file32,32768
file33,31232
file34,48640
file35,26112
file36,82432
file37,49152
file38,33792
file39,24576
file40,28672
file41,24064
file42,47104
file43,53248
file44,100864
file45,30208
file46,48640
file47,38400
file48,59904
file49,62464
file50,43008
file51,31232
file52,74240
file53,51712
file54,296960
file55,35328
file56,10240
file57,217088
file58,113152
file59,41472
file60,16384
file61,32256
file62,36352
file63,37376
file64,47104
file65,26112
file66,33792
file67,199680
file68,1845248
file69,26624
file70,50176
file71,31232
file72,216064
file73,58880
file74,70144
file75,63488
file76,63488
file77,248320
file78,22016
file79,55808
file80,38912
file81,56320
file82,160256
file83,27136
file84,282112
file85,30208
file86,29696
file87,178688
file88,51712
file89,63488
file90,54272
file91,21504
file92,49152
file93,46592
file94,69632
file95,51200
file96,53248
file97,29184
file98,31744
file99,32768
file100,58368
file101,40960
file102,51712
file103,54272
file104,25600
file105,494592
file106,17408
file107,51712
file108,60416
file109,48128
file110,46592
file111,31744
file112,47104
file113,18432
file114,26112
