Files,size
file1,65536
file2,63461
file3,64908
file4,65536
file5,22662
file6,65536
file7,21985
file8,60524
file9,65376
file10,22291
file11,64605
file12,63202
file13,65328
file14,63459
file15,65536
file16,65536
file17,65536
file18,65536
file19,65536
file20,65536
file21,22058
file22,65536
file23,65536
file24,63436
file25,64221
file26,21409
file27,61724
file28,63461
file29,63979
file30,65536
file31,65253
file32,65186
file33,65536
file34,65536
file35,65536
file36,64905
file37,61768
file38,65536
file39,65536
file40,21129
file41,65536
file42,63462
file43,65536
file44,65536
file45,65536
file46,65536
file47,61773
file48,65213
file49,65536
file50,64664
file51,63661
file52,65536
file53,15975
file54,65438
file55,63229
file56,65536
file57,63459
file58,64908
file59,65536
file60,64875
file61,65536
file62,65536
file63,65536
file64,65536
file65,65375
file66,65536
file67,65536
file68,54628
file69,22541
file70,62505
file71,61035
file72,63155
file73,64211
file74,65536
file75,61644
file76,64908
file77,65536
file78,65536
file79,21723
file80,63461
file81,65536
file82,62941
file83,65394
file84,65536
file85,65536
file86,61855
file87,65536
file88,65536
file89,65536
file90,64812
file91,751303
file92,19111
file93,65536
file94,65536
file95,62598
file96,65536
file97,65536
file98,65536
file99,65536
file100,365960
file101,65536
file102,65536
file103,64910
file104,19164
file105,65536
file106,22458
file107,65536
file108,65536
file109,63920
file110,65536
file111,65536
file112,59368
file113,65536

