Files,size
file1,19783
file2,757
file3,6941
file4,33094
file5,1530
file6,1025
file7,3864
file8,839
file9,14467
file10,16244
file11,703
file12,9781
file13,6561
file14,792
file15,786
file16,11443
file17,9337
file18,697
file19,913
file20,2821
file21,928
file22,635
file23,22771
file24,716
file25,43884
file26,1578
file27,1199
file28,654
file29,846
file30,741
file31,668
file32,694
file33,813
file34,829
file35,13712
file36,7403
file37,722
file38,764
file39,831
file40,3379
file41,11956
file42,804
file43,2790
file44,755
file45,1992
file46,2900
file47,927
file48,904
file49,826
file50,795
file51,744
file52,9941
file53,75691
file54,698
file55,676
file56,30907
file57,2657
file58,3630
file59,4613
file60,3537
file61,22255
file62,36764
file63,790
file64,15579
file65,794
file66,885
file67,839
file68,712
file69,779
file70,1807
file71,904
file72,4753
file73,1758
file74,694
file75,332606
file76,689
file77,27978
file78,1374
file79,1354
file80,4290
file81,813
file82,8346
file83,19600
file84,1918
file85,18253
file86,2887
file87,1994
file88,763
file89,14541
file90,1246
file91,5795
file92,1777
file93,1428
file94,3558
file95,779
file96,878
file97,4686
file98,676
file99,732
file100,10444
file101,690
file102,9845
file103,7780
file104,10592
file105,911
file106,907
file107,790
file108,4860
file109,1061
file110,2116
file111,2952
file112,3132
file113,2330
file114,882
file115,1066
file116,982
file117,2295
file118,503
file119,792
file120,3982
file121,667
file122,36544
file123,1307
file124,887
file125,37955
file126,723
file127,866
file128,4105
file129,869
file130,36728
file131,6200
file132,33719
file133,879
file134,844
file135,36764
file136,824
file137,712
file138,6742
file139,943
file140,663
file141,718
file142,808
file143,998
file144,833
file145,5541
file146,698
file147,1620
file148,668
file149,11315
file150,867
