Files,size
file1,1045
file2,1045
file3,10583
file4,11210
file5,23616
file6,11497
file7,12552
file8,1045
file9,18542
file10,1337
file11,10954
file12,11340
file13,1052
file14,19013
file15,12015
file16,3980
file17,20603
file18,20836
file19,11268
file20,16583
file21,13290
file22,758
file23,692
file24,26246
file25,21240
file26,1045
file27,20829
file28,18533
file29,1045
file30,4245
file31,1045
file32,12085
file33,782
file34,6512
file35,15737
file36,11053
file37,3156
file38,1045
file39,12213
file40,10636
file41,10819
file42,6314
file43,2653
file44,3230
file45,1045
file46,526
file47,743
file48,4371
file49,18539
file50,1045
file51,21494
file52,713
file53,1943
file54,21146
file55,12332
file56,3424
file57,18539
file58,10174
file59,12444
file60,14758
file61,11120
file62,11459
file63,10966
file64,1052
file65,24736
file66,18542
file67,581
file68,2239
file69,12640
file70,11111
file71,19805
file72,733
file73,14511
file74,13014
file75,12739
file76,11095
file77,4041
file78,788
file79,17016
file80,1045
file81,12210
file82,737
file83,20156
file84,12882
file85,18543
file86,11481
file87,13337
file88,4371
file89,982
file90,750
file91,18542
file92,17913
file93,10979
file94,3457
file95,11308
file96,1052
file97,11208
file98,1804
file99,11758
file100,4233
file101,14035
file102,11785
file103,12033
file104,738
file105,19735
file106,11174
file107,10063
file108,14224
file109,10638
file110,11088
file111,21708
file112,11309
file113,11115
file114,4142
file115,3934
file116,11132
file117,700
file118,11462
file119,11960
file120,11645
file121,11999
file122,12025
file123,11119
file124,21223
file125,22820
file126,13592
file127,718
file128,722
file129,2214
file130,1045
file131,12089
file132,11493
file133,22422
file134,23583
file135,11965
file136,19556
file137,20239
file138,767
file139,11132
file140,3742
file141,833
file142,13211
file143,13599
file144,829
file145,20553
file146,5134
file147,12135
file148,61346
file149,11694
file150,21764
file151,19598
file152,916
file153,6030
file154,10979
file155,1538
file156,11119
file157,3806
file158,12162
file159,11647
file160,11916
file161,11863
file162,733
file163,1045
file164,11288
file165,11021
file166,12601
file167,1045
file168,47409
file169,18542
file170,801665
file171,12039
file172,1045
file173,740
file174,22361
