Files	Filesize	Extracted Text	Metadata
1	92.3097095653	3.3960532354	4.2942371992
2	93.9652380438	4.168658719	1.8661032372
3	95.5887117928	2.3144219346	2.0968662727
4	79.5747364627	17.6367240292	2.7885395081
5	91.5790226801	3.9636545754	4.4573227445
6	92.0242642103	3.1565940238	4.8191417659
7	79.2629029439	17.1140353067	3.6230617494
8	92.8118245834	2.9003695182	4.2878058984
9	73.2666881651	24.1877620123	2.5455498226
10	93.0564714587	4.9056664469	2.0378620945
11	89.8403228637	5.6080014038	4.5516757326
12	89.0628397478	7.7136333986	3.2235268537
13	89.4713848842	5.0546089996	5.4740061162
14	88.1108003905	9.6288451674	2.2603544421
15	89.8159665742	6.0376997417	4.1463336842
16	86.7565951226	9.409263074	3.8341418034
17	99.7412813028	0.1813991816	0.0773195156
18	88.1382356762	7.6750682084	4.1866961154
19	86.6989839963	9.42293645	3.8780795538
20	93.5517092455	2.6510747151	3.7972160393
21	78.6417907391	18.5279239796	2.8302852813
22	89.459255912	6.0822413014	4.4585027866
23	95.9784953843	1.7596293283	2.2618752874
24	88.4206890597	7.6245574648	3.9547534755
25	80.0301837978	18.0887188056	1.8810973967
26	88.4206890597	7.6245574648	3.9547534755
27	78.8686592071	18.7330181211	2.3983226717
28	94.0110781283	1.2944884781	4.6944333935
29	89.2230576441	8.2217261905	2.5552161654
30	94.006972954	3.3585707507	2.6344562953
31	88.4206890597	7.6245574648	3.9547534755
32	92.2061030515	3.2949808238	4.4989161247
33	91.9863757158	3.1627802523	4.8508440319
34	86.3982418962	8.9239463151	4.6778117887
35	92.1037682257	4.1942813861	3.7019503882
36	85.4415593085	10.5333422335	4.0250984581
37	86.0330689609	9.4838015862	4.4831294529
38	93.5691000691	3.0796206658	3.351279265
39	85.3753742373	9.6827983477	4.941827415
40	85.555917835	9.7000326052	4.7440495598
41	86.7018627353	9.4199289438	3.8782083209
42	85.1152519664	11.5698583232	3.3148897104
43	90.1153471415	5.801929786	4.0827230726
44	92.3944509192	2.8158953344	4.7896537464
45	86.5334701515	9.2382447033	4.2282851452
46	87.5104218776	7.2452893113	5.2442888111
47	88.0462101504	8.8958948807	3.0578949689
48	91.885013215	3.9155545404	4.1994322446
49	88.6645142354	7.7604931024	3.5749926622
50	88.9043236673	6.6574057996	4.4382705331
51	89.2857142857	5.4861886161	5.2280970982
52	91.2298207477	4.2229428745	4.5472363779
53	96.042018383	1.9774276246	1.9805539924
54	89.8410287301	6.6940785166	3.4648927533
55	85.9686361476	9.7259623	4.3054015524
56	81.453002784	10.3274559194	8.2195412966
57	89.8385713172	7.4300085783	2.7314201045
58	93.1368317198	3.4069186656	3.4562496146
59	88.4206890597	7.6245574648	3.9547534755
60	91.4769719428	4.2946003176	4.2284277395
61	89.261863956	6.814018084	3.9241179599
62	92.7230819888	3.1050378663	4.1718801449
63	93.5560859189	1.6035202864	4.8403937948
64	91.6553717106	4.9510267754	3.393601514
65	85.9328649493	9.2232630757	4.843871975
66	92.8807546561	2.1728614045	4.9463839394
67	78.8915103402	20.6020457567	0.5064439031
68	93.8347628473	4.178579283	1.9866578697
69	85.754961896	6.0128967423	8.2321413617
70	90.1153471415	5.801929786	4.0827230726
71	91.4769719428	4.2946003176	4.2284277395
72	92.3097095653	3.3960532354	4.2942371992
73	79.2629029439	17.1140353067	3.6230617494
74	87.7714285714	8.6971428571	3.5314285714
75	90.3172006799	5.6672760512	4.0155232689
76	94.011299435	0.0988700565	5.8898305085
77	94.95363592	2.3108833577	2.7354807223
78	88.3063125216	8.1004944234	3.5931930551
79	92.9683598892	3.9811158019	3.0505243089
80	88.9254955326	8.6286236101	2.4458808573
81	94.3678094019	3.1818093631	2.4503812351
82	89.8245614035	4.6798245614	5.4956140351
83	81.8072877369	15.0481558741	3.144556389
84	93.696219289	1.3510882685	4.9526924425
85	94.5382536327	2.3120768552	3.1496695122
86	88.4206890597	7.6245574648	3.9547534755
87	87.948203582	11.5404789647	0.5113174533
88	95.6422754736	2.4459297744	1.9117947521
89	96.0163134513	1.6805039691	2.3031825796
90	88.9174760404	6.9177333248	4.1647906349
91	91.4142521535	4.6953797964	3.8903680501
92	95.8012124841	1.0652895242	3.1334979917
93	89.8159665742	6.0376997417	4.1463336842
94	92.7711298177	2.4196897059	4.8091804764
95	88.8117953166	6.93174995	4.2564547335
96	90.7899974668	4.5489089133	4.66109362
97	93.8571582617	1.5024621689	4.6403795694
98	90.1153471415	5.801929786	4.0827230726
99	79.5786201537	18.1482600812	2.2731197651
100	82.2075351929	16.087275805	1.7051890022
101	88.9619385287	7.6709948578	3.3670666134
102	87.194042809	8.618559455	4.187397736
103	95.2374843655	0.6317950034	4.1307206312
104	92.2061030515	3.2949808238	4.4989161247
105	89.8159665742	6.0376997417	4.1463336842
106	91.4769719428	4.2946003176	4.2284277395
107	88.9619385287	7.6709948578	3.3670666134
108	89.6641714168	5.9027539317	4.4330746515
109	88.4206890597	7.6245574648	3.9547534755
110	73.5236043798	24.104988133	2.3714074872
111	81.8072877369	15.0481558741	3.144556389
112	80.941507114	13.7431933954	5.3152994906
113	92.7230819888	3.1050378663	4.1718801449
