Files	Filesizes	Extracted Text	Metadata
1	99.0074479175	0	0.9925520825
2	98.9753267413	0	1.0246732587
3	98.9979409746	0	1.0020590254
4	99.0074479175	0	0.9925520825
5	93.1940617675	1.3077271045	5.498211128
6	99.0074479175	0	0.9925520825
7	93.2199796472	1.1109226594	5.6690976934
8	98.9261371995	0	1.0738628005
9	99.0050429331	0	0.9949570669
10	93.9795100974	1.1003836587	4.9201062439
11	98.9932885906	0	1.0067114094
12	98.9711708608	0	1.0288291392
13	98.8260922183	0	1.1739077817
14	98.9752947782	0	1.0247052218
15	99.0074479175	0	0.9925520825
16	99.0074479175	0	0.9925520825
17	99.0074479175	0	0.9925520825
18	99.0074479175	0	0.9925520825
19	99.0074479175	0	0.9925520825
20	99.0074479175	0	0.9925520825
21	93.1700105597	1.1826821542	5.6473072862
22	99.0074479175	0	0.9925520825
23	99.0074479175	0	0.9925520825
24	98.9749270591	0	1.0250729409
25	98.9873300657	0	1.0126699343
26	93.0987997913	1.0871455905	5.8140546182
27	98.9467946971	0	1.0532053029
28	98.9753267413	0	1.0246732587
29	98.9835385853	0	1.0164614147
30	99.0044565299	0.0030213762	0.9925220938
31	99.0031861629	0	0.9968138371
32	99.002171833	0	0.997828167
33	99.0044565299	0.0030213762	0.9925220938
34	99.0074479175	0	0.9925520825
35	99.0074479175	0	0.9925520825
36	98.8185319956	0	1.1814680045
37	98.9475370445	0	1.0524629556
38	99.0074479175	0	0.9925520825
39	99.0074479175	0	0.9925520825
40	92.9605349993	1.1571120595	5.8823529412
41	99.0074479175	0	0.9925520825
42	98.9753427221	0	1.0246572779
43	99.0074479175	0	0.9925520825
44	99.0074479175	0	0.9925520825
45	99.0074479175	0	0.9925520825
46	99.0074479175	0	0.9925520825
47	98.9476213359	0	1.0523786641
48	99.0025808411	0	0.9974191589
49	99.0074479175	0	0.9925520825
50	98.9941978843	0	1.0058021157
51	98.9785130135	0	1.0214869865
52	99.002960904	0	0.997039096
53	90.9168516305	1.4740196915	7.6091286779
54	99.0059762463	0	0.9940237537
55	98.9685073879	0.0031304783	1.0283621337
56	99.0074479175	0	0.9925520825
57	98.9752947782	0	1.0247052218
58	98.9979409746	0	1.0020590254
59	99.0074479175	0	0.9925520825
60	98.997436367	0	1.002563633
61	99.0074479175	0	0.9925520825
62	99.0074479175	0	0.9925520825
63	99.0074479175	0	0.9925520825
64	99.0074479175	0	0.9925520825
65	99.0050278653	0	0.9949721347
66	99.0074479175	0	0.9925520825
67	99.0074479175	0	0.9925520825
68	95.7478879658	2.0314088408	2.2207031935
69	91.9627922157	3.031292073	5.0059157113
70	98.9598176119	0	1.0401823881
71	98.9350320949	0	1.0649679051
72	98.9704130884	0	1.0295869116
73	83.8734537665	14.4219339838	1.7046122497
74	98.8297743998	0	1.1702256002
75	98.9454422882	0	1.0545577118
76	98.9888822803	0.0030501289	1.0080675909
77	99.0074479175	0	0.9925520825
78	99.0074479175	0	0.9925520825
79	92.9843335331	1.292697543	5.7229689239
80	98.9753267413	0	1.0246732587
81	99.0074479175	0	0.9925520825
82	98.9669486462	0	1.0330513538
83	99.0053140755	0	0.9946859245
84	99.0074479175	0	0.9925520825
85	98.8297743998	0	1.1702256002
86	98.9490017917	0	1.0509982083
87	99.0074479175	0	0.9925520825
88	99.0074479175	0	0.9925520825
89	99.0074479175	0	0.9925520825
90	98.9964716125	0	1.0035283875
91	99.9122297241	0.0002659705	0.0875043054
92	92.2301047247	1.3175039815	6.4523912939
93	99.0074479175	0	0.9925520825
94	99.0074479175	0	0.9925520825
95	98.9582180628	0.0031617054	1.0386202318
96	99.0074479175	0	0.9925520825
97	99.0074479175	0	0.9925520825
98	99.0074479175	0	0.9925520825
99	99.0074479175	0	0.9925520825
100	99.3255438397	0.0933653598	0.5810908005
101	99.0044565299	0.0030213762	0.9925220938
102	99.0074479175	0	0.9925520825
103	98.9979715406	0	1.0020284594
104	90.9151288012	4.9812609706	4.1036102282
105	99.0074479175	0	0.9925520825
106	93.1055926371	1.3515194229	5.54288794
107	99.0074479175	0	0.9925520825
108	99.0074479175	0	0.9925520825
109	98.9826099076	0	1.0173900925
110	99.0074479175	0	0.9925520825
111	99.0074479175	0	0.9925520825
112	98.90545606	0	1.09454394
113	99.0074479175	0	0.9925520825
114	99.0074479175	0	0.9925520825
115	98.8100700499	0.0030589459	1.1868710043
116	93.9673540826	3.551860589	2.4807853284
117	98.9717344352	0	1.0282655648
118	99.0074479175	0	0.9925520825
119	93.0790899242	1.1267605634	5.7941495125
120	98.8135100836	0	1.1864899164
121	98.9978339791	0	1.0021660209
122	99.0074479175	0	0.9925520825
123	99.0074479175	0	0.9925520825
124	98.9712030817	0	1.0287969183
125	99.0074479175	0	0.9925520825
126	99.0074479175	0	0.9925520825
127	97.2921615202	1.7324821853	0.9753562945
128	99.0074479175	0	0.9925520825
129	98.9935815934	0	1.0064184066
130	99.0074479175	0	0.9925520825
131	99.0074479175	0	0.9925520825
132	99.0074479175	0	0.9925520825
133	99.0074479175	0	0.9925520825
134	99.0074479175	0	0.9925520825
135	98.9972221374	0	1.0027778626
136	93.0048528833	1.1498273073	5.8453198094
137	92.961773633	1.1569084591	5.8813179079
138	99.0074479175	0	0.9925520825
139	99.0074479175	0	0.9925520825
140	99.0074479175	0	0.9925520825
141	99.0074479175	0	0.9925520825
142	99.0074479175	0	0.9925520825
143	98.9467102732	0	1.0532897268
144	99.0049374489	0	0.9950625511
145	99.0074479175	0	0.9925520825
146	99.0074479175	0	0.9925520825
147	99.9670608534	0	0.0329391466
148	99.0074479175	0	0.9925520825
149	99.002171833	0	0.997828167
150	99.0074479175	0	0.9925520825
151	98.9449342391	0	1.055065761
152	99.0074479175	0	0.9925520825
153	99.0074479175	0	0.9925520825
154	99.0074479175	0	0.9925520825
155	98.9008415171	0	1.0991584829
156	99.0037605386	0	0.9962394614
157	99.0074479175	0	0.9925520825
158	98.9979562578	0	1.0020437422
159	98.9702355762	0	1.0297644238
160	99.0074479175	0	0.9925520825
161	98.9747830972	0	1.0252169028
162	99.0074479175	0	0.9925520825
163	98.9939052403	0	1.0060947597
164	99.0014653232	0	0.9985346768
165	99.0074479175	0	0.9925520825
166	98.9440185158	0	1.0559814842
167	99.0074479175	0	0.9925520825
168	99.0074479175	0	0.9925520825
169	99.0074479175	0	0.9925520825
170	99.0047565668	0	0.9952434332
171	99.0044565299	0.0030213762	0.9925220938
172	99.0074479175	0	0.9925520825
173	99.0074479175	0	0.9925520825
174	99.0074479175	0	0.9925520825
175	99.0011402509	0	0.9988597491
176	99.0074479175	0	0.9925520825
177	98.9833341071	0	1.016665893
178	98.9717344352	0	1.0282655648
179	99.0074479175	0	0.9925520825
180	99.0074479175	0	0.9925520825
181	98.9934428239	0	1.0065571761
182	99.0074479175	0	0.9925520825
183	99.0019899439	0	0.9980100561
184	98.9999697876	0	1.0000302124
185	99.0074479175	0	0.9925520825
186	98.933597364	0	1.066402636
