Files	filesize	extracted text	metadata
1	84.2475087301	13.6444936547	2.1079976152
2	63.9898562975	4.1420118343	31.8681318681
3	74.021542071	22.1179481711	3.8605097579
4	96.1839160636	2.627372337	1.1887115994
5	64.4753476612	10.3244837758	25.200168563
6	54.146856841	10.353935552	35.499207607
7	58.3157259282	36.4020525204	5.2822215515
8	50.6948640483	10.8157099698	38.4894259819
9	71.1433489058	26.363412835	2.4932382592
10	72.4467041299	25.9700294354	1.5832664348
11	64.7329650092	3.1307550645	32.1362799263
12	68.8705816082	27.7918603014	3.3375580904
13	75.9462900799	19.1920361153	4.8616738048
14	57.8947368421	7.2368421053	34.8684210526
15	51.4734774067	10.0851342502	38.4413883432
16	68.7556329989	29.2435258066	2.0008411945
17	59.5168281489	30.2332993371	10.249872514
18	63.0769230769	3.8914027149	33.0316742081
19	57.2772898369	8.4065244668	34.3161856964
20	73.1966787753	15.282823041	11.5204981837
21	63.5181382615	5.749486653	30.7323750856
22	66.2839248434	1.4613778706	32.254697286
23	84.1562569296	14.546529677	1.2972133935
24	62.0450606586	4.5927209705	33.3622183709
25	91.3697974141	7.4205167711	1.2096858148
26	68.3116883117	10.5627705628	21.1255411255
27	51.9047619048	11.9913419913	36.1038961039
28	66.9396110542	1.4329580348	31.627430911
29	67.7884615385	3.2852564103	28.9262820513
30	63.8242894057	4.0482342808	32.1274763135
31	66.4015904573	1.8886679921	31.7097415507
32	67.0531400966	1.9323671498	31.0144927536
33	60.2222222222	6.3703703704	33.4074074074
34	60.5551497443	6.3550036523	33.0898466034
35	61.7212819589	36.581742888	1.696975153
36	73.0727470141	22.2288026848	4.6984503011
37	61.1346316681	5.0804403048	33.7849280271
38	62.9324546952	4.6952224053	32.3723228995
39	56.9958847737	7.9561042524	35.0480109739
40	76.5518803806	15.0657000453	8.3824195741
41	94.8813586223	1.5713038648	3.5473375129
42	60.9090909091	5.9848484849	33.1060606061
43	72.9984301413	15.1229722658	11.8785975929
44	62.9691409508	4.5871559633	32.4437030859
45	71.5517241379	10.4166666667	18.0316091954
46	68.5417159064	22.666036398	8.7922476956
47	54.593639576	9.6584216726	35.7479387515
48	62.0027434842	6.2414266118	31.755829904
49	64.4305772231	4.6021840874	30.9672386895
50	57.8602620087	7.2780203785	34.8617176128
51	58.0796252927	6.7135050742	35.2068696331
52	82.993822007	13.3661713141	3.6400066789
53	78.0166771457	21.3989012461	0.5844216081
54	56.7941415785	6.834825061	36.3710333605
55	61.5104640582	4.3676069154	34.1219290264
56	81.9857817391	17.0300811714	0.9841370895
57	66.391804098	23.3633183408	10.2448775612
58	68.5293562394	21.6537662828	9.8168774778
59	56.0170006072	37.9842137219	5.9987856709
60	74.2131766681	17.2681493915	8.5186739404
61	64.2428266266	34.4148721205	1.3423012528
62	61.8901720481	37.5627083263	0.5471196256
63	60.6293169609	5.9861857253	33.3844973139
64	68.539375275	29.5908490981	1.8697756269
65	54.7208821502	8.6836664369	36.5954514128
66	54.9348230912	9.2489137182	35.8162631906
67	59.9285714286	6.7142857143	33.3571428571
68	60.9589041096	5.051369863	33.9897260274
69	54.0221914008	8.8765603329	37.1012482663
70	71.451166469	11.862396204	16.686437327
71	61.5803814714	6.4713896458	31.9482288828
72	73.5758513932	19.2105263158	7.213622291
73	66.8441064639	14.6007604563	18.5551330798
74	61.1453744493	4.7577092511	34.0969162996
75	85.1541118248	14.7168536046	0.1290345705
76	59.3965517241	5.5172413793	35.0862068966
77	85.2623880051	13.4485280673	1.2890839276
78	68.3922349428	9.8058735689	21.8018914883
79	62.9474662947	9.8093909809	27.2431427243
80	73.046143368	18.8489698621	8.10488677
81	65.4589371981	4.0257648953	30.5152979066
82	72.1535402438	24.837900925	3.0085588312
83	64.3826166935	33.5183786092	2.0990046973
84	75.0097770825	7.8607743449	17.1294485725
85	65.3082400086	31.7757343733	2.9160256181
86	70.7598039216	19.7303921569	9.5098039216
87	70.4593639576	11.3780918728	18.1625441696
88	54.422253923	8.5592011412	37.0185449358
