Files	filesize	extracted text	metadata
1	96.6167947163	0	3.3832052837
2	99.4845782541	0	0.5154217459
3	99.0252204858	0	0.9747795142
4	97.8117401876	0	2.1882598124
5	97.1970965941	0	2.8029034059
6	99.3808353808	0	0.6191646192
7	97.8117401876	0	2.1882598124
8	97.8117401876	0	2.1882598124
9	97.990430622	0	2.009569378
10	97.1970965941	0	2.8029034059
11	97.8117401876	0	2.1882598124
12	97.0271230605	0	2.9728769395
13	96.3660055017	0	3.6339944983
14	96.0750586396	0	3.9249413604
15	98.6132511556	0	1.3867488444
16	98.6132511556	0	1.3867488444
17	99.3664680594	0	0.6335319406
