Files	Filesizes	Extracted Text	Metadata
1	59.9197247706	26.7775229358	13.3027522936
2	59.9197247706	26.7775229358	13.3027522936
3	77.3046018992	20.9934258583	1.7019722425
4	76.8703284647	21.5319207296	1.5977508057
5	73.7976938221	25.4742039311	0.7281022468
6	75.7977320675	22.6661392405	1.536128692
7	74.2370475515	24.3849065531	1.3780458954
8	59.9197247706	26.7775229358	13.3027522936
9	74.2630567126	24.8037487985	0.9331944889
10	68.0753564155	20.1120162933	11.8126272912
11	77.7817226443	20.5638003266	1.654477029
12	75.7262103506	22.7178631052	1.5559265442
13	59.8407281001	26.9624573379	13.196814562
14	69.5275360199	29.6204198055	0.8520441747
15	76.8075177396	21.7029981461	1.4894841143
16	66.2670662671	29.8701298701	3.8628038628
17	73.7164120362	25.4499266521	0.8336613117
18	73.3274678867	25.8525426711	0.8199894422
19	76.7522648321	21.6606498195	1.5870853484
20	74.9040155382	24.0435430688	1.052441393
21	76.164823199	22.4998567253	1.3353200757
22	67.4377224199	12.0106761566	20.5516014235
23	55.1394422311	26.4541832669	18.406374502
24	73.4626472976	25.8851848742	0.6521678283
25	73.7781791657	25.4124839348	0.8093368995
26	59.9197247706	26.7775229358	13.3027522936
27	73.3389669378	25.8406394141	0.8203936481
28	74.2805611222	24.7855711423	0.9338677355
29	59.9197247706	26.7775229358	13.3027522936
30	89.613679544	5.488705932	4.897614524
31	59.9197247706	26.7775229358	13.3027522936
32	76.5115542893	22.0132953466	1.475150364
33	67.8819444444	12.0659722222	20.0520833333
34	79.3952694465	17.776152158	2.8285783955
35	74.484096933	24.4131010981	1.102801969
36	77.3965408585	20.9719207338	1.6315384077
37	88.2057015092	5.3102291783	6.4840693125
38	59.9197247706	26.7775229358	13.3027522936
39	75.2124645892	23.3526296342	1.4349057766
40	77.0668792117	21.2448373306	1.6882834577
41	76.3676148796	21.987717936	1.6446671843
42	68.6677542142	28.8091353997	2.5231103861
43	87.0692484411	5.3167049557	7.6140466032
44	85.9499733901	7.8765300692	6.1734965407
45	59.9197247706	26.7775229358	13.3027522936
46	61.5204678363	11.4619883041	27.0175438596
47	67.1790235081	11.9349005425	20.8860759494
48	89.8827884022	5.3464939338	4.770717664
49	74.2688887108	24.7976924926	0.9334187966
50	59.9197247706	26.7775229358	13.3027522936
51	71.3659605551	27.8604156983	0.7736237466
52	66.6355140187	11.7757009346	21.5887850467
53	72.3380491437	19.0245718541	8.6373790022
54	72.9247853226	26.2716832776	0.8035313998
55	74.8346380242	23.7514412282	1.4139207476
56	86.3991925309	7.7466565733	5.8541508958
57	74.2688887108	24.7976924926	0.9334187966
58	76.912609616	21.3259752041	1.7614151799
59	74.5149700599	24.0898203593	1.3952095808
60	74.12727912	24.7023959014	1.1703249787
61	77.227585249	21.1542468227	1.6181679283
62	75.9276437848	22.5284919162	1.543864299
63	77.7344580705	20.6138796342	1.6516622953
64	59.8407281001	26.9624573379	13.196814562
65	72.4821988455	26.835057286	0.6827438685
66	74.2630567126	24.8037487985	0.9331944889
67	59.1047812818	17.3957273652	23.499491353
68	86.4145117715	4.6314164415	8.954071787
69	75.5077658303	23.1003584229	1.3918757467
70	77.2401807438	21.1400764685	1.6197427876
71	73.2623090297	25.8757814523	0.861909518
72	67.0018281536	11.8829981718	21.1151736746
73	76.2933753943	22.4815983176	1.2250262881
74	77.0013608662	21.6200224839	1.3786166499
75	76.8011093025	21.7941761621	1.4047145355
76	77.2202115813	21.1581291759	1.6216592428
77	64.2652671756	32.0451653944	3.68956743
78	67.9310344828	12.1551724138	19.9137931034
79	74.5367734023	24.442594945	1.0206316527
80	59.9197247706	26.7775229358	13.3027522936
81	76.1554294268	22.3913179068	1.4532526664
82	67.1220400729	11.839708561	21.0382513661
83	76.4585388059	22.6576132312	0.883847963
84	74.7866473149	23.8606676343	1.3526850508
85	74.261113336	24.8057669203	0.9331197437
86	76.898861353	21.540522438	1.560616209
87	76.0766641949	22.5942615937	1.3290742114
88	89.8827884022	5.3464939338	4.770717664
89	56.5342544617	30.1669545193	13.298791019
90	65.6167979003	14.1732283465	20.2099737533
91	74.2630567126	24.8037487985	0.9331944889
92	54.1080166737	45.1881834109	0.7037999154
93	77.749451172	20.6005240422	1.6500247858
94	64.5444361464	31.1239731143	4.3315907394
95	76.5139725286	21.9094661344	1.576561337
96	59.8407281001	26.9624573379	13.196814562
97	76.8777008025	21.5241100213	1.5981891762
98	87.5303250849	1.2130033964	11.2566715187
99	76.0100846855	22.4836770315	1.506238283
100	80.5058957779	15.0817801445	4.4123240776
101	76.2067654884	22.5280990389	1.2651354727
102	73.2033045531	25.3494005839	1.447294863
103	76.7459659417	21.767969896	1.4860641623
104	67.0909090909	11.9090909091	21
105	74.110931691	25.0140823914	0.8749859176
106	76.9400261654	21.4556221166	1.604351718
107	77.4196030158	20.7878135098	1.7925834744
108	70.0482615976	28.8042942973	1.1474441052
109	77.0590365809	21.2531691416	1.6877942774
110	77.2682926829	21.1080139373	1.6236933798
111	70.0800619835	29.1677427686	0.7521952479
112	76.432819681	21.9924303866	1.5747499324
113	77.22503995	21.1561175571	1.6188424929
114	64.2569035061	32.1439652498	3.5991312442
115	64.1971279373	32.0169712794	3.7859007833
116	77.1822783055	21.202246412	1.6154752825
117	55.0747442958	26.7505900865	18.1746656176
118	75.917340045	22.5394091933	1.5432507617
119	76.0427263479	22.4758392675	1.4814343845
120	75.4160999935	23.0749303802	1.5089696263
121	75.9718880588	22.5528681778	1.4752437635
122	77.5256269744	20.972213268	1.5021597576
123	77.231367646	21.1502396333	1.6183927207
124	72.8511602362	26.3490319923	0.7998077715
125	74.0212137922	25.2230043141	0.7557818937
126	74.4236981876	24.3004982752	1.2758035372
127	66.7286245353	11.8029739777	21.468401487
128	64.4642857143	14.9107142857	20.625
129	83.2957110609	7.9759217457	8.7283671934
130	59.9197247706	26.7775229358	13.3027522936
131	77.3003388963	21.2097960228	1.4898650809
132	75.8113456464	22.6517150396	1.536939314
133	69.7765606523	29.4983506566	0.7250886911
134	73.8468764678	25.4235165179	0.7296070142
135	76.0261786758	22.4933282501	1.4804930741
136	73.4277024744	25.6974430218	0.8748545038
137	72.2073566663	26.9613614471	0.8312818866
138	67.8761061947	11.6814159292	20.4424778761
139	77.1822783055	21.202246412	1.6154752825
140	66.5126199787	29.3636686811	4.1237113402
141	68.6161449753	12.3558484349	19.0280065898
142	76.4039095483	22.2485686195	1.3475218322
143	75.942368906	22.7564639526	1.3011671413
144	74.6846846847	4.5045045045	20.8108108108
145	73.5506727741	25.6155167478	0.8338104781
146	84.0124365898	12.1911307478	3.7964326624
147	76.3447625039	22.1893677257	1.4658697704
148	69.000191211	30.737737186	0.2620716029
149	76.9544617004	21.5122400632	1.5332982364
150	73.6813596046	25.5298259869	0.7888144086
151	74.9703530852	24.1383267664	0.8913201484
152	64.5525017618	19.1684284708	16.2790697674
153	61.9414483821	35.6753980483	2.3831535696
154	77.749451172	20.6005240422	1.6500247858
155	71.0064635272	18.2825484765	10.7109879963
156	77.231367646	21.1502396333	1.6183927207
157	60.7793037368	35.5158096455	3.7048866177
158	76.3129823681	22.2250109807	1.4620066512
159	73.8460563023	24.6766421506	1.4773015471
160	75.436819448	23.0881235756	1.4750569765
161	77.364027651	21.1164731968	1.5194991522
162	67.0018281536	11.8829981718	21.1151736746
163	59.9197247706	26.7775229358	13.3027522936
164	74.7302217809	23.7272426349	1.5425355842
165	77.5853572686	20.77437522	1.6402675114
166	76.6111381323	21.9722762646	1.4165856031
167	59.9197247706	26.7775229358	13.3027522936
168	69.0690559441	30.5914918415	0.3394522145
169	74.2630567126	24.8037487985	0.9331944889
170	61.3690402372	38.6130466003	0.0179131625
171	77.4810142876	21.0194362209	1.4995494916
172	59.9197247706	26.7775229358	13.3027522936
173	66.84733514	12.2854561879	20.8672086721
174	72.0880750508	27.1607724298	0.7511525194
175	73.8954809392	25.2641829264	0.8403361345
176	74.261113336	24.8057669203	0.9331197437
177	76.0785619174	22.3701731025	1.55126498
178	59.9197247706	26.7775229358	13.3027522936
179	76.2698819908	22.2357619292	1.49435608
180	71.7988642609	27.4897722416	0.7113634976
181	70.0350175088	18.3591795898	11.6058029015
182	59.9197247706	26.7775229358	13.3027522936
183	83.2558139535	4.7545219638	11.9896640827
184	61.2574208811	38.2225594786	0.5200196402
185	91.0847522479	8.1723104394	0.7429373127
186	76.9107360585	21.5940447924	1.4952191491
187	74.5182736731	24.6065432145	0.8751831123
188	59.805764411	39.1514500537	1.0427855353
189	67.3524150268	11.9856887299	20.6618962433
190	77.0935308903	21.365259955	1.5412091547
191	77.3852282374	21.0931887938	1.5215829687
192	82.3121808899	9.2268417214	8.4609773888
193	77.2789023231	21.1384322782	1.5826653987
194	59.9197247706	26.7775229358	13.3027522936
195	72.1425946343	27.0789482476	0.778457118
196	83.9143584846	15.1583890481	0.9272524674
197	76.502952905	22.3209328151	1.17611428
198	70.0408163265	11.1020408163	18.8571428571
199	59.9197247706	26.7775229358	13.3027522936
200	73.5445600824	25.6278194153	0.8276205023
201	75.8782201405	22.6470029749	1.4747768846
202	73.3547181783	25.8239627763	0.8213190454
203	73.9208892739	25.2381983543	0.8409123719
204	75.7745239741	22.761264375	1.4642116509
205	62.0868919421	37.501105158	0.4120028999
206	57.2614107884	10.7883817427	31.9502074689
207	84.2364793213	14.5281018028	1.2354188759
208	58.1117021277	11.170212766	30.7180851064
209	73.4430020497	25.3324223472	1.2245756031
210	73.9637703408	25.2413604885	0.7948691707
211	75.8537176072	22.7355291838	1.410753209
212	73.6009689025	25.5690521141	0.8299789834
213	88.7425768138	5.2672347018	5.9901884844
214	79.758812616	15.9369202226	4.3042671614
215	74.2805611222	24.7855711423	0.9338677355
216	54.7955390335	28.029739777	17.1747211896
217	72.1090041178	27.2798803997	0.6111154825
218	78.9023521026	4.5616535994	16.5359942979
219	62.3285899094	35.6705476498	2.0008624407
220	74.1160661796	24.9055177627	0.9784160578
221	67.5552922591	27.8633491311	4.5813586098
222	79.4852941176	16.25	4.2647058824
223	76.3237569804	22.1085918052	1.5676512144
224	70.6863146405	28.6778550962	0.6358302633
225	73.1076560951	26.1707135778	0.7216303271
226	74.2708333333	24.7956730769	0.9334935897
227	76.1388286334	22.2307746134	1.6303967532
228	73.8318765512	25.3300240999	0.8380993489
229	74.1711105959	25.0571362327	0.7717531715
230	67.4688057041	11.9429590018	20.5882352941
231	74.2669443999	24.7997115847	0.9333440154
232	77.2787846482	21.1687100213	1.5525053305
233	67.7320264503	31.7216151573	0.5463583923
234	66.820702403	11.8299445471	21.3493530499
235	59.9269183922	11.9366626066	28.1364190012
236	72.0378989362	27.1875	0.7746010638
237	71.2784090909	22.1306818182	6.5909090909
238	59.9197247706	26.7775229358	13.3027522936
239	76.2757325823	22.161872192	1.5623952256
240	74.2650004005	24.8017303533	0.9332692462
241	74.0206746464	24.9229234675	1.0564018861
242	72.7515243902	18.4070121951	8.8414634146
243	74.2630567126	24.8037487985	0.9331944889
244	71.7469879518	27.4732262383	0.7797858099
245	59.9197247706	26.7775229358	13.3027522936
246	72.9623245506	26.2180321525	0.8196432969
247	59.9197247706	26.7775229358	13.3027522936
248	63.5861561119	32.1428571429	4.2709867452
249	76.5570992884	21.8637749915	1.5791257201
250	88.7425768138	5.2672347018	5.9901884844
251	76.8608846719	21.582253107	1.556862221
252	73.786721188	25.3775243014	0.8357545106
253	89.7307451472	5.4268419954	4.8424128574
254	76.4790128897	22.2375234108	1.2834636995
255	75.450153711	23.2707509881	1.2790953008
256	72.366438753	26.2834627419	1.350098505
257	64.9913070966	31.341868184	3.6668247195
258	68.7622149837	27.4592833876	3.7785016287
259	76.750068362	21.6570959803	1.5928356576
260	76.9734574285	21.4201999311	1.6063426405
261	63.0653266332	7.9145728643	29.0201005025
262	55.9296781883	37.1573301549	6.9129916567
263	71.2868217054	21.519379845	7.1937984496
264	74.2669443999	24.7997115847	0.9333440154
265	74.2688887108	24.7976924926	0.9334187966
266	75.6938090881	22.8850259225	1.4211649893
267	76.9035358737	21.4967387573	1.599725369
268	70.612244898	10.5306122449	18.8571428571
269	73.9570529969	25.2006362519	0.8423107512
270	59.9197247706	26.7775229358	13.3027522936
271	75.7977320675	22.6661392405	1.536128692
272	74.0878239022	25.0384370195	0.8737390783
273	61.5522887201	38.1230404793	0.3246708005
274	76.5728535803	21.7670110438	1.6601353759
275	65.2198421646	28.2412626832	6.5388951522
276	74.5073849423	24.6941503033	0.7984647545
277	74.2844544216	24.7815281007	0.9340174778
278	73.5002809778	25.6813711717	0.8183478505
279	59.9197247706	26.7775229358	13.3027522936
280	61.4762656409	38.51139855	0.0123358091
281	75.2540459164	23.2844059716	1.4615481119
282	73.9312536106	25.2274696707	0.8412767187
283	65.0840029218	18.042366691	16.8736303871
284	71.7158513901	27.6984565884	0.5856920215
285	61.6547748429	37.2442470349	1.1009781222
286	76.6287076271	21.828654661	1.5426377119
287	69.9481865285	15.0259067358	15.0259067358
288	59.7671410091	25.2910737387	14.9417852523
289	59.3119810202	13.2858837485	27.4021352313
290	76.5782312925	21.8367346939	1.5850340136
291	60.4237288136	20	19.5762711864
292	77.231367646	21.1502396333	1.6183927207
293	77.6722460101	20.5216037369	1.806150253
294	78.0907767298	20.4342596696	1.4749636007
295	76.6419260276	21.9048213061	1.4532526664
